id,c_date,campaign_name,category,campaign_id,impressions,mark_spent,clicks,leads,orders,revenue,ROMI%,CTR %,CR1(LC)%,CR2(OL)%,AVERAGE ORDER VALUE,COST PER CLICK,COST PER LEAD,GROSS PROFIT,CAC
1,2/1/2021,facebook_tier1,social,349043,148263,"?7,307.37",1210,13,1,"?4,981.00",-0.318%,0.0082%,0.01074%,0.0769%,"?4,981.00",?6.04,?562.11,"-?2,326.37","?7,307.37"
2,2/1/2021,facebOOK_tier2,social,348934,220688,"?16,300.20",1640,48,3,"?14,962.00",-0.082%,0.0074%,0.02927%,0.0625%,"?4,987.33",?9.94,?339.59,"-?1,338.20","?5,433.40"
3,2/1/2021,google_hot,search,89459845,22850,"?5,221.60",457,9,1,"?7,981.00",0.528%,0.0200%,0.01969%,0.1111%,"?7,981.00",?11.43,?580.18,"?2,759.40","?5,221.60"
4,2/1/2021,google_wide,search,127823,147038,"?6,037.00",1196,24,1,"?2,114.00",-0.650%,0.0081%,0.02007%,0.0417%,"?2,114.00",?5.05,?251.54,"-?3,923.00","?6,037.00"
5,2/1/2021,youtube_blogger,influencer,10934,225800,"?29,962.20",2258,49,10,"?84,490.00",1.820%,0.0100%,0.02170%,0.2041%,"?8,449.00",?13.27,?611.47,"?54,527.80","?2,996.22"
6,2/1/2021,instagram_tier1,social,9034945,444857,"?9,540.01",1342,27,3,"?17,943.00",0.881%,0.0030%,0.02012%,0.1111%,"?5,981.00",?7.11,?353.33,"?8,402.99","?3,180.00"
7,2/1/2021,instagram_tier2,social,983498,511200,"?3,648.90",2556,94,1,"?1,981.00",-0.457%,0.0050%,0.03678%,0.0106%,"?1,981.00",?1.43,?38.82,"-?1,667.90","?3,648.90"
8,2/1/2021,facebook_retargeting,social,4387490,5544,"?1,293.55",148,3,1,"?4,981.00",2.851%,0.0267%,0.02027%,0.3333%,"?4,981.00",?8.74,?431.18,"?3,687.45","?1,293.55"
9,2/1/2021,facebook_lal,social,544756,56916,"?16,997.80",596,14,2,"?4,162.00",-0.755%,0.0105%,0.02349%,0.1429%,"?2,081.00",?28.52,"?1,214.13","-?12,835.80","?8,498.90"
10,2/1/2021,instagram_blogger,influencer,374754,120436,"?23,604.10",1498,49,7,"?39,081.00",0.656%,0.0124%,0.03271%,0.1429%,"?5,583.00",?15.76,?481.72,"?15,476.90","?3,372.01"
11,2/1/2021,banner_partner,media,39889,20900000,?931.99,2090,3,0,?0.00,-1.000%,0.0001%,0.00144%,0.0000%,?0.00,?0.45,?310.66,-?931.99,?0.00
12,2/2/2021,facebook_tier1,social,349043,478200,"?18,385.30",2391,48,4,"?17,812.00",-0.031%,0.0050%,0.02008%,0.0833%,"?4,453.00",?7.69,?383.03,-?573.30,"?4,596.33"
13,2/2/2021,facebOOK_tier2,social,348934,957806,"?2,198.05",3294,10,0,?0.00,-1.000%,0.0034%,0.00304%,0.0000%,?0.00,?0.67,?219.81,"-?2,198.05",?0.00
14,2/2/2021,google_hot,search,89459845,43806,"?11,446.70",907,18,3,"?23,943.00",1.092%,0.0207%,0.01985%,0.1667%,"?7,981.00",?12.62,?635.93,"?12,496.30","?3,815.57"
15,2/2/2021,google_wide,search,127823,314704,"?15,153.60",2395,39,4,"?12,540.00",-0.172%,0.0076%,0.01628%,0.1026%,"?3,135.00",?6.33,?388.55,"-?2,613.60","?3,788.40"
